Nombre,ISIN,Rent Total 1 Día,Rent Total 1 Semana,Rent Total 1 Mes,Rent Total 3 Meses,Rent Total 6 Meses,Rent Total Año,Rent Total 1 Año,Rent Total 3 Años,Rent Total 5 Años,Rent Total 10 Años
Amundi Glb Govt Inf-Ld Bd 1-10Y ETF€HDis,LU1910940268,"−0,11 %","0,06 %","0,50 %","1,46 %","1,97 %","4,77 %","3,50 %","3,01 %","1,37 %",—
Amundi Glb HY Corp Bd ESG $ Acc,LU2099295466,"0,35 %","0,55 %","0,10 %","1,98 %","6,91 %","10,10 %","9,56 %","13,79 %","4,69 %",—
Amundi Glb HY Corp Bd ESG Mly H to € Acc,LU2099296274,"0,29 %","0,85 %","0,25 %","1,86 %","5,18 %","5,48 %","6,13 %","8,42 %","2,37 %",—
Amundi Global Bioenergy UCITS ETF EURAcc,LU1681046006,"0,70 %","4,96 %","3,18 %","7,84 %","25,08 %","12,33 %","3,79 %","−4,33 %","20,95 %","3,52 %"
Amundi Global Bioenergy UCITS ETF USDAcc,LU1681046188,"1,17 %","5,00 %","2,85 %","6,89 %","28,33 %","25,63 %","11,49 %","1,10 %","20,66 %","4,05 %"
Amundi Global Corp Bd 1-5Y ESG ETF DR C,LU1525418726,"−0,00 %","−0,10 %","0,04 %","0,91 %","3,76 %","9,23 %","7,90 %","7,87 %","1,62 %",—
Amundi Global Corp Bd 1-5Y ESG ETF DRH£C,LU2382233182,"0,15 %","0,27 %","0,77 %","1,69 %","3,67 %","5,95 %","6,17 %","6,20 %",—,—
Amundi Global Corporate Bd ETF USD H Acc,LU2924150019,"−0,08 %","0,06 %","0,96 %","3,18 %","5,90 %",—,—,—,—,—
Amundi Global Gender Equality ETF Acc,LU1691909508,"0,66 %","2,20 %","2,62 %","4,55 %","16,55 %","19,97 %","15,53 %","18,58 %","10,83 %",—
Amundi Global Govt Bd ETF Dist,—,"0,10 %","0,69 %","−0,33 %","2,36 %","2,22 %","7,62 %","4,33 %","4,71 %","−3,29 %",—
Amundi Global Govt Bd ETF EUR H Dist,LU2099289147,"−0,10 %","0,01 %","0,95 %","1,74 %","0,99 %","2,02 %","1,22 %","2,05 %","−2,85 %",—
Amundi Global Hydrogen ETF - Acc,FR0010930644,"1,53 %","2,30 %","8,89 %","15,22 %","36,73 %","34,32 %","33,52 %","21,92 %","33,29 %","11,65 %"
Amundi Global Luxury ETF EUR Acc,LU1681048630,"−0,04 %","2,08 %","3,26 %","5,12 %","18,31 %","1,50 %","7,72 %","7,57 %","8,40 %","8,66 %"
Amundi Global Luxury ETF USD Acc,LU1681048713,"0,22 %","1,75 %","2,51 %","3,84 %","21,50 %","13,03 %","16,03 %","13,58 %","8,02 %","9,21 %"
Amundi Global Qual Inc ETF Acc,LU0855692520,"0,22 %","1,17 %","3,23 %","5,07 %","8,20 %","14,28 %","12,42 %","11,11 %","10,17 %","7,63 %"
Amundi Global Qual Inc ETF Dist,LU0832436512,"0,58 %","0,03 %","3,85 %","4,69 %","5,05 %","8,47 %","6,39 %","11,21 %","11,08 %","5,53 %"
Amundi Global Qual Inc ETF GBP H Acc,LU1040688639,"−0,01 %","0,19 %","2,75 %","4,21 %","8,17 %","15,79 %","13,10 %","15,51 %","11,87 %","7,09 %"
Amundi Global Treasury Bd ETF USD H Acc,LU2924149862,"−0,12 %","0,06 %","1,03 %","2,01 %","2,58 %",—,—,—,—,—
Amundi Ibex 35 Doble Apln Diario ETF Acc,FR0011042753,"0,93 %","3,34 %","8,66 %","22,61 %","45,61 %","87,69 %","80,68 %","64,15 %","41,23 %","9,74 %"
Amundi Ibex 35 Doble Inverso Diar ETFAcc,FR0011036268,"−0,99 %","−3,38 %","−8,14 %","−19,15 %","−32,33 %","−50,31 %","−48,73 %","−42,01 %","−36,08 %","−22,28 %"
Amundi Ibex 35 ETF Acc,FR0010655746,"0,42 %","1,63 %","4,16 %","11,38 %","22,18 %","40,49 %","38,70 %",—,—,—
Amundi Ibex 35 ETF Dist,FR0010251744,"0,47 %","1,70 %","4,39 %","11,32 %","22,12 %","40,68 %","38,69 %","32,16 %","22,23 %","7,94 %"
Amundi IS CAC 40 ESG DR ETF-C,LU1681046931,"0,06 %","0,44 %","5,60 %","5,53 %","12,92 %","15,70 %","15,00 %","15,29 %","14,50 %","8,59 %"
Amundi IS CAC 40 ESG DR ETF-D,LU1681047079,"−0,12 %","0,41 %","5,54 %","5,40 %","12,96 %","16,20 %","14,90 %","15,26 %","14,48 %","8,59 %"
Amundi IS China CNY Bonds ETF DR USD Cap,LU2439735890,"−0,21 %","0,06 %","0,10 %","−0,13 %","2,07 %","2,14 %","2,17 %",—,—,—
Amundi IS Core Global Gvt Bd ETF DR,LU1437016204,"0,00 %","0,22 %","1,46 %","2,46 %","−0,96 %","−4,38 %","−3,01 %","−1,25 %","−2,99 %",—
Amundi IS Core Global Gvt Bd ETFDR€,LU1737653631,"−0,38 %","0,01 %","1,26 %","2,18 %","−1,17 %","−4,05 %","−3,28 %","−1,34 %","−3,06 %",—
Amundi IS Core Global Gvt BdETFDRH$C,LU2469335538,"0,04 %","0,24 %","1,28 %","2,52 %","2,52 %","4,28 %","3,59 %","4,30 %",—,—
Amundi IS Core MSCI China A Swap ETF Dis,LU2572256746,"1,07 %","2,92 %","2,45 %","14,84 %","29,71 %","25,39 %","25,36 %",—,—,—
Amundi IS Core MSCI Emerg Mkts ETF Acc,LU1437017350,"0,62 %","2,58 %","4,56 %","12,30 %","25,97 %","19,82 %","17,14 %","14,74 %","6,96 %",—
Amundi IS Core MSCI Europe ETF DR,LU1437015735,"0,22 %","1,52 %","3,99 %","4,88 %","12,53 %","16,29 %","13,69 %","15,74 %","12,98 %",—
Amundi IS Core MSCI World Swap ETF Dist,LU2572257124,"0,98 %","2,47 %","2,29 %","6,39 %","23,25 %","19,03 %","19,94 %",—,—,—
Amundi IS Euro GvtBdHghstRtd InvmGrETF€C,LU1681046691,"−0,35 %","−0,31 %","1,07 %","0,64 %","−0,50 %","0,08 %","−0,08 %","1,58 %","−3,79 %","−0,75 %"
Amundi IS Euro Lwst Rtd IG Gvt Bd ETF-C,LU1681046774,"−0,34 %","−0,37 %","1,17 %","1,25 %","0,71 %","1,56 %","1,60 %","3,74 %","−2,21 %","0,54 %"
Amundi IS Euro Lwst Rtd IG GvtBd 1-3ETFC,LU1681046345,"0,00 %","< 0,01 %","0,41 %","0,62 %","0,72 %","2,24 %","2,88 %","2,82 %","0,58 %","0,29 %"
Amundi IS FltngRt$CorpESG ETF DR H EUR C,LU1681041031,"0,00 %","0,07 %","0,31 %","0,82 %","1,93 %","2,44 %","3,27 %","4,18 %","2,03 %",—
Amundi IS FTSE EPRA Europe RE ETF-C,LU1681039480,"0,00 %","2,91 %","6,40 %","2,92 %","6,65 %","9,98 %","1,54 %","9,48 %","0,22 %","−0,36 %"
Amundi IS FTSE EPRA NAREIT Global ETF DR,LU1437018838,"0,49 %","1,93 %","3,37 %","5,49 %","8,09 %","0,63 %","−3,27 %","4,68 %","5,75 %",—
Amundi IS Global Aggt Bd ESG ETF DR C,LU2439734141,"−0,06 %","−0,29 %","0,20 %","0,92 %","2,22 %","8,29 %","5,54 %","5,82 %",—,—
Amundi IS Global Aggt Bd ESG ETF DR EURC,LU2439733507,"−0,15 %","−0,08 %","0,91 %","1,75 %","1,67 %","2,76 %","2,17 %","3,11 %",—,—
Amundi IS Global Aggt Bd ESG ETF DR USD,LU2469335611,"−0,07 %","0,07 %","1,10 %","2,44 %","2,93 %","4,67 %","4,11 %","5,42 %",—,—
Amundi IS ITALY MIB ESG ETF DR - EUR C,LU1681037518,"0,12 %","1,41 %","−0,04 %","4,79 %","17,22 %","28,21 %","28,65 %","29,83 %","21,53 %","9,99 %"
Amundi IS Japan Topix ETF-C CHF Hdg,LU1681038169,"0,49 %","2,38 %","5,99 %","12,17 %","31,22 %","18,99 %","26,53 %","22,57 %","16,68 %",—
Amundi IS Japan Topix ETF-C EUR,LU1681037609,"0,36 %","1,38 %","2,20 %","8,51 %","15,80 %","11,71 %","18,03 %","14,99 %","9,15 %","6,59 %"
Amundi IS Japan Topix ETF-C EUR Hdg,LU1681037864,"0,73 %","2,83 %","4,23 %","11,95 %","27,38 %","22,76 %","29,53 %","25,12 %","18,15 %","9,33 %"
Amundi IS Japan Topix ETF-C GBP Hdg,LU1681038086,"0,00 %","0,00 %","2,51 %","16,38 %","25,95 %","25,29 %","24,98 %","26,08 %","19,09 %","10,42 %"
Amundi IS Japan Topix ETF-C JPY,LU1681037781,"0,66 %","2,80 %","4,07 %","12,50 %","27,02 %","21,77 %","27,86 %","22,53 %","17,30 %","9,65 %"
Amundi IS JPX-Nikkei 400 ETF-C CHF Hdg,LU1681047665,"0,00 %","0,00 %","2,93 %","14,75 %","25,55 %","15,96 %","18,20 %","22,09 %","16,48 %",—
Amundi IS JPX-Nikkei 400 ETF-C EUR,LU1681038912,"0,41 %","1,40 %","2,46 %","8,60 %","15,18 %","10,94 %","16,25 %","15,08 %","9,17 %","6,66 %"
Amundi IS JPX-Nikkei 400 ETF-C EUR Hdg,LU1681039134,"0,63 %","2,71 %","4,25 %","11,77 %","26,98 %","22,14 %","27,89 %","25,60 %","18,49 %","9,70 %"
Amundi IS JPX-Nikkei 400 ETF-C JPY,LU1681039050,"0,66 %","2,85 %","4,62 %","11,51 %","26,38 %","19,64 %","26,06 %","22,64 %","17,33 %","9,72 %"
Amundi IS JPX-Nikkei 400 ETF-C USD Hdg,LU1681039217,"0,66 %","2,86 %","5,12 %","17,93 %","29,03 %","24,90 %","28,98 %","28,42 %","20,81 %","11,73 %"
Amundi IS MSCI Em Asia ETF-C EUR,LU1681044480,"0,77 %","2,92 %","5,27 %","12,77 %","28,09 %","18,53 %","16,98 %","17,25 %","6,39 %","7,15 %"
Amundi IS MSCI Em Latin America ETF-C $,LU1681045297,"0,64 %","2,20 %","−0,84 %","12,61 %","19,02 %","42,12 %","23,98 %","10,47 %","11,34 %","6,24 %"
Amundi IS MSCI Em Latin America ETF-C €,LU1681045024,"0,44 %","2,63 %","0,07 %","14,03 %","16,31 %","27,05 %","13,83 %","4,64 %","11,75 %","5,70 %"
Amundi IS MSCI Emerg Mkts Swp ETF EURAcc,LU1681045370,"0,65 %","2,67 %","4,95 %","12,53 %","26,08 %","19,28 %","17,20 %","14,90 %","7,15 %","6,44 %"
Amundi IS MSCI Emerg Mkts Swp ETF USDAcc,LU1681045453,"0,89 %","2,43 %","3,97 %","11,15 %","29,01 %","33,52 %","26,26 %","21,32 %","6,76 %","6,99 %"
Amundi IS MSCI Europe Growth ETF Acc,LU1681042435,"0,19 %","1,01 %","4,68 %","4,75 %","11,30 %","9,65 %","6,28 %","11,89 %","8,30 %","6,60 %"
Amundi IS MSCI Europe Growth ETF Dist,LU1598688189,"0,22 %","1,67 %","4,74 %","4,86 %","11,74 %","9,99 %","6,52 %",—,—,—
Amundi IS MSCI Europe Hi Div Fctr ETF-C,LU1681041973,"0,07 %","1,55 %","3,50 %","2,39 %","8,46 %","14,51 %","12,24 %","15,55 %","13,95 %","6,89 %"
Amundi IS MSCI Europe Min Vol Fctr ETF-C,LU1681041627,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,14 %","3,47 %","5,67 %"
Amundi IS MSCI Europe Momt Fctr ETF-C,LU1681041460,"0,20 %","1,83 %","1,00 %","3,72 %","12,80 %","20,58 %","21,67 %","19,84 %","12,70 %",—
Amundi IS MSCI Europe Quality Fctr ETF-C,LU1681041890,"0,00 %","0,76 %","4,95 %","4,75 %","7,02 %","8,11 %","2,74 %","10,04 %","8,49 %",—
Amundi IS MSCI Europe Value Factor ETF-C,LU1681042518,"0,19 %","1,29 %","3,35 %","4,90 %","12,84 %","22,10 %","20,92 %","18,93 %","16,69 %","6,57 %"
Amundi IS MSCI India Swap II ETF EUR Acc,LU1681043086,"−0,76 %","0,44 %","4,55 %","1,39 %","−0,93 %","−8,20 %","−9,51 %","4,50 %","12,25 %","7,01 %"
Amundi IS MSCI India Swap II ETF USD Acc,LU1681043169,"0,00 %","3,66 %","3,96 %","0,54 %","2,12 %","3,77 %","−2,06 %","10,67 %","11,96 %","7,56 %"
Amundi IS MSCI Nordic ETF-C,LU1681044647,"0,52 %","2,93 %","3,55 %","1,72 %","9,70 %","4,36 %","−4,20 %","9,03 %","7,80 %","6,93 %"
Amundi IS MSCI Switzerland ETF-C CHF,LU1681044993,"0,07 %","−0,30 %","4,62 %","3,80 %","6,55 %","10,63 %","5,41 %","7,35 %","5,66 %","5,37 %"
Amundi IS MSCI Switzerland ETF-C EUR,LU1681044720,"−0,02 %","−0,44 %","5,63 %","4,98 %","8,15 %","12,44 %","6,71 %","9,67 %","8,83 %","7,00 %"
Amundi IS MSCI USA Min Vol Fac ETF,LU1589349734,"0,00 %","1,33 %","1,33 %","3,21 %","5,52 %","8,04 %","4,79 %","12,86 %","9,27 %",—
Amundi IS MSCI World Ex Europe ETF-C EUR,LU1681045537,"0,94 %","1,37 %","2,96 %","8,05 %","21,83 %","4,23 %","10,63 %","16,04 %","14,85 %","11,90 %"
Amundi IS MSCI World Swap ETF EUR Acc,LU1681043599,"0,75 %","2,71 %","3,24 %","7,54 %","20,11 %","5,76 %","10,82 %","15,83 %","14,48 %","10,97 %"
Amundi IS MSCI World Swap ETF USD Acc,LU1681043672,"1,00 %","2,42 %","2,26 %","6,22 %","22,93 %","18,36 %","19,41 %","22,38 %","14,06 %","11,54 %"
Amundi IS Nasdaq-100 Swap ETF EUR Acc,LU1681038243,"1,14 %","3,62 %","4,31 %","10,60 %","30,33 %","6,95 %","17,04 %","24,58 %","18,01 %","18,56 %"
Amundi IS Nasdaq-100 Swap ETF EUR H Acc,LU1681038599,"1,36 %","3,30 %","3,19 %","8,54 %","31,47 %","17,69 %","23,39 %","28,32 %","14,91 %",—
Amundi IS Nasdaq-100 Swap ETF USD Acc,LU1681038326,"1,45 %","3,33 %","3,40 %","9,35 %","33,59 %","19,68 %","26,21 %","31,68 %","17,59 %","19,17 %"
Amundi IS Prime Europe ETF DR,LU1931974262,"0,09 %","1,59 %","4,25 %","5,45 %","12,77 %","16,80 %","13,86 %","16,00 %","13,10 %",—
Amundi IS Prime Europe ETF DR (C),LU2089238039,"0,47 %","1,86 %","4,53 %","5,76 %","13,01 %","17,11 %","14,18 %","16,08 %","13,33 %",—
Amundi IS Prime Eurozone ETF DR,LU1931974429,"0,17 %","1,27 %","3,84 %","5,63 %","14,57 %","21,42 %","20,48 %","19,54 %","14,64 %",—
Amundi IS Prime Eurozone ETF DR (C),LU2089238112,"0,03 %","1,36 %","3,65 %","5,29 %","14,08 %","21,35 %","20,78 %","20,43 %","14,65 %",—
Amundi IS Russell 2000 ETF-C EUR,LU1681038672,"1,79 %","3,71 %","3,63 %","12,82 %","27,47 %","1,07 %","6,49 %","8,26 %","10,40 %","8,35 %"
Amundi IS Russell 2000 ETF-C USD,LU1681038839,"2,18 %","3,59 %","2,91 %","11,60 %","30,94 %","13,27 %","14,94 %","14,42 %","10,06 %","8,91 %"
Amundi IS S&P 500 Buyback ETF-C EUR,LU1681048127,"0,90 %","3,13 %","1,80 %","5,21 %","17,12 %","2,83 %","4,30 %","11,15 %","15,95 %","11,10 %"
Amundi IS S&P 500 Buyback ETF-C USD,LU1681048556,"1,17 %","2,77 %","0,94 %","3,85 %","20,09 %","14,94 %","12,29 %","16,64 %","15,68 %","11,67 %"
Amundi IS USD Emerg Mkts Govt Bd ETF Acc,LU1681041205,"0,16 %","0,68 %","1,32 %","5,26 %","9,31 %","11,20 %","8,40 %","10,68 %","1,20 %","2,51 %"
Amundi IS USD Emerg Mkts Govt Bd ETF Dis,LU1686830909,"0,28 %","0,69 %","1,13 %","5,28 %","9,18 %","10,89 %","4,74 %",—,—,—
Amundi IS USD Emerg Mkts Govt BdETF€HDis,LU1686831030,"0,12 %","0,58 %","0,89 %","4,69 %","7,69 %","9,22 %","2,82 %",—,—,—
Amundi IS-Amundi Cr Glb Agg Bd ETF DR,LU1437024729,"−0,21 %","0,07 %","1,30 %","2,59 %","0,40 %","−3,75 %","−2,04 %","0,29 %","−1,47 %",—
Amundi IS-Amundi Cr Glb Agg Bd ETF DRH$,LU1778293313,"0,00 %","0,18 %","1,07 %","2,58 %","3,28 %","4,92 %","4,95 %","5,59 %","0,22 %",—
Amundi IS-Amundi Cr Glb Agg Bd ETF DR€H,LU1708330318,"0,00 %","0,13 %","0,85 %","2,01 %","7,19 %","7,19 %","7,19 %","3,44 %","−1,50 %",—
Amundi Italy BTP Govt Bd 1-3Y ETF Dis,LU1598691050,"−0,05 %","−0,09 %","0,32 %","0,50 %","0,69 %","2,41 %","2,91 %","3,54 %","1,03 %","0,85 %"
Amundi Italy BTP Govt Bd 10Y ETF Acc,LU1598691217,"−0,39 %","−0,24 %","1,56 %","1,87 %","2,77 %","4,30 %","4,35 %","8,34 %","−0,90 %","1,61 %"
Amundi Japan Topix II ETF Dist EUR,FR0010245514,"0,37 %","1,48 %","2,21 %","8,46 %","15,68 %","11,53 %","17,79 %","14,64 %","8,86 %","6,26 %"
Amundi Japan Topix II ETF Dly H EUR Dist,FR0011475078,"0,60 %","2,80 %","4,00 %","11,83 %","27,38 %","23,07 %","29,63 %","24,89 %","18,03 %","9,28 %"
Amundi JPM INR India Govt Bd ETF USD Acc,IE0004W4ZVJ5,"0,00 %","−0,13 %","1,77 %","−1,24 %","−1,54 %","3,13 %","2,22 %",—,—,—
Amundi Label ISR Act Europe ETF Acc,FR001400SDI8,"0,00 %","1,02 %","5,16 %","4,87 %","11,45 %","11,62 %",—,—,—,—
Amundi Label ISR Act Japon ETF Acc,FR001400SDJ6,"0,00 %","0,00 %","3,32 %","12,49 %","24,08 %","9,14 %",—,—,—,—
Amundi Label ISR Act Japon ETF EUR H Acc,FR001400SDK4,"0,00 %","0,28 %","1,84 %","13,85 %","26,39 %","18,60 %",—,—,—,—
Amundi Label ISR Act Monde ETF Acc,FR001400SDM0,"0,00 %","1,11 %","2,37 %","6,10 %","19,47 %","4,00 %",—,—,—,—
Amundi Label ISR Act USA ETF Acc,FR001400SDN8,"0,00 %","0,00 %","0,48 %","7,31 %","21,16 %","0,45 %",—,—,—,—
Amundi Label ISR Act USA ETF EUR H Acc,FR001400SDO6,"0,00 %","1,30 %","1,23 %","6,66 %","24,86 %","13,74 %",—,—,—,—
Amundi Label ISR Credit EUR ETF Acc,FR001400SDP3,"0,00 %","−0,02 %","0,70 %","1,08 %","2,23 %","2,64 %",—,—,—,—
Amundi Label ISR Credit USD ETF Acc,FR001400SDQ1,"−0,06 %","0,22 %","2,68 %","5,35 %","4,09 %","−3,14 %",—,—,—,—
Amundi Label ISR Credit USD ETF EUR H Ac,FR001400SQV3,"0,00 %","0,00 %","0,33 %","3,70 %","5,07 %","4,20 %",—,—,—,—
Amundi LevDAX Daily (2x) ETF Acc,LU0252634307,"0,22 %","3,16 %","4,42 %","−1,77 %","17,02 %","39,01 %","44,16 %","42,03 %","22,27 %","10,90 %"
AMUNDI LIFECYCLE 2030 ETF Acc,LU2872291948,"−0,10 %","0,29 %","0,92 %","2,15 %","4,84 %",—,—,—,—,—
AMUNDI LIFECYCLE 2033 ETF Acc,LU2872292086,"0,00 %","0,55 %","1,46 %","3,03 %","7,06 %",—,—,—,—,—
AMUNDI LIFECYCLE 2036 ETF Acc,LU2872292169,"0,43 %","0,98 %","1,64 %","3,72 %","9,23 %",—,—,—,—,—
AMUNDI LIFECYCLE 2039 ETF Acc,LU2872292243,"0,60 %","1,65 %","2,43 %","4,77 %","11,85 %",—,—,—,—,—
Amundi MDAX ESG ETF EUR Dis,LU2611731667,"0,82 %","2,00 %","1,17 %","−4,94 %","6,02 %","13,03 %","9,49 %","7,69 %","1,14 %","2,97 %"
Amundi MDAX ESG II UCITS ETF,DE000ETF9074,"0,74 %","2,29 %","1,37 %","−4,83 %","5,70 %","13,01 %","9,80 %","7,65 %","1,11 %",—
Amundi MDAX ETF,FR0011857234,"1,11 %","2,57 %","−0,21 %","−4,53 %","7,83 %","17,65 %","10,73 %","8,74 %","1,78 %","3,37 %"
Amundi MSCI AC Asia Ex Japan ETF Acc,LU1900068161,"0,91 %","2,86 %","4,98 %","12,06 %","27,31 %","17,85 %","17,31 %","16,33 %","6,27 %","6,57 %"
Amundi MSCI AC AsiaPac Ex Jpn ETF Acc,LU1900068328,"0,51 %","2,41 %","4,36 %","10,13 %","24,98 %","15,49 %","14,51 %","14,77 %","6,54 %","6,47 %"
Amundi MSCI ACWI SRIClmtPrsAlgdETFDRUSDA,IE0000ZVYDH0,"0,81 %","1,76 %","2,45 %","4,85 %","22,22 %","15,63 %","15,38 %","19,21 %",—,—
Amundi MSCI All Country World ETF EURAcc,LU1829220216,"0,75 %","2,61 %","3,33 %","8,13 %","20,70 %","7,33 %","11,66 %","15,82 %","13,60 %","10,40 %"
Amundi MSCI All Country World ETF USDAcc,LU1829220133,"0,93 %","2,37 %","2,38 %","6,83 %","23,65 %","20,02 %","20,35 %","22,31 %","13,21 %","10,97 %"
Amundi MSCI Brazil ETF Acc,LU1900066207,"0,56 %","3,77 %","−0,87 %","13,74 %","14,19 %","22,03 %","7,58 %","0,04 %","8,80 %","7,27 %"
Amundi MSCI China A ETF Acc,FR0011720911,"1,23 %","3,15 %","2,58 %","13,54 %","27,07 %","24,33 %","21,90 %","9,91 %","0,30 %","1,84 %"
Amundi MSCI China ESG Sel - ETF DR (C),LU2343997487,"1,04 %","2,76 %","−0,97 %","8,97 %","25,40 %","40,10 %","38,78 %","21,50 %",—,—
Amundi MSCI China ESG Sel Extra ETF Acc,LU1900068914,"0,94 %","3,48 %","0,32 %","12,31 %","23,66 %","29,08 %","32,72 %","17,51 %","−2,75 %","−1,67 %"
Amundi MSCI China ETF Acc,LU1841731745,"0,76 %","2,66 %","−0,30 %","9,56 %","26,30 %","39,50 %","35,00 %","25,75 %","−1,10 %",—
Amundi MSCI China Tech ETF EUR,LU1681043912,"1,67 %","4,42 %","0,28 %","22,68 %","40,03 %","31,40 %","35,24 %","10,99 %","5,18 %","1,80 %"
Amundi MSCI China Tech ETF USD,LU1681044050,"2,02 %","4,03 %","0,86 %","22,19 %","43,41 %","44,59 %","42,36 %","17,02 %","4,77 %","2,33 %"
Amundi MSCI Digital Economy ETF Acc,LU2023678878,"2,29 %","3,43 %","3,60 %","10,70 %","33,82 %","25,37 %","30,12 %","30,07 %","9,77 %",—
Amundi MSCI Disruptive Tech ETF Acc,LU2023678282,"1,79 %","3,57 %","4,89 %","12,32 %","34,52 %","26,78 %","28,78 %","22,95 %","7,54 %",—
Amundi MSCI East Eurp ex Russia ETF Acc,LU1900066462,"−0,29 %","3,43 %","6,36 %","3,68 %","13,68 %","42,53 %","45,67 %","36,39 %","19,70 %","7,06 %"
Amundi MSCI East Eurp ex Russia ETF Dis,LU2090063160,"0,52 %","2,81 %","6,87 %","4,53 %","14,81 %","42,87 %","45,14 %","36,70 %","19,75 %",—
Amundi MSCI EM Asia ESG Brd TrnstnETFAcc,LU1781541849,"1,06 %","2,56 %","4,02 %","11,30 %","32,70 %","33,59 %",—,—,—,—
Amundi MSCI EM Asia SRIClmtPrsAlgdETFDRD,LU2300294589,"0,53 %","1,03 %","1,88 %","8,56 %","32,34 %","29,25 %","22,06 %","15,73 %",—,—
Amundi MSCI Emerg Mkts Swp II ETF EURAcc,FR0010429068,"0,58 %","2,65 %","4,77 %","12,45 %","25,67 %","19,14 %","16,79 %","14,52 %","6,76 %","6,13 %"
Amundi MSCI Emerg Mkts Swp II ETF USDAcc,FR0010435297,"0,88 %","2,18 %","3,49 %","10,83 %","28,50 %","32,18 %","25,46 %","20,81 %","6,34 %","6,68 %"
Amundi MSCI Emerging Ex Chn ESGSelETFDRC,LU2345046655,"0,66 %","1,58 %","3,20 %","7,23 %","22,05 %","24,99 %","18,11 %","15,18 %",—,—
Amundi MSCI Emerging Mkt Ex China ETFAcc,LU2009202107,"0,88 %","2,22 %","5,46 %","11,75 %","29,61 %","30,65 %","23,06 %","19,60 %","11,27 %",—
Amundi MSCI EmMktsESGBrdTrnstn ETFDRC,LU2109787049,"0,85 %","2,30 %","3,53 %","10,79 %","29,91 %","33,96 %","27,74 %","19,52 %","6,36 %",—
Amundi MSCI EmMktsSRIClmtPrsAlgdETFDRC,LU1861138961,"0,68 %","1,89 %","2,87 %","8,21 %","29,08 %","28,91 %","22,35 %","16,03 %","5,47 %",—
Amundi MSCI EmMktsSRIClmtPrsAlgdETFDRD,LU2059756754,"0,74 %","1,90 %","2,90 %","8,24 %","29,23 %","29,15 %","22,43 %","16,02 %","6,02 %",—
Amundi MSCI EMU Clmt Paris Algd ETF Acc,LU2182388582,"0,05 %","1,06 %","4,18 %","4,96 %","11,99 %","15,18 %","14,34 %","15,83 %","10,84 %",—
Amundi MSCI EMU ESG Brd Trnstn ETF ACC,LU0908501058,"0,25 %","1,32 %","3,87 %","5,55 %","13,65 %","19,97 %","19,18 %",—,—,—
Amundi MSCI EMU ESG Brd Trnstn ETF DIST,LU0908501132,"0,15 %","1,21 %","3,55 %","5,48 %","13,79 %","20,56 %","19,10 %",—,—,—
Amundi MSCI EMU ESG Sel ETF DR EUR C,LU1602144575,"0,06 %","0,76 %","4,45 %","6,67 %","12,97 %","17,39 %","16,13 %","16,35 %","11,91 %",—
Amundi MSCI EMU High Dividend ETF Acc,FR0010717090,"0,31 %","1,43 %","2,83 %","1,79 %","8,23 %","14,58 %","13,00 %","14,28 %","10,49 %","6,47 %"
Amundi MSCI EMU SmCapESGBrdTrnstnETFDIS,LU1598689153,"0,42 %","1,10 %","1,99 %","0,15 %","13,72 %","18,44 %","14,18 %",—,—,—
Amundi MSCI EMU SRI ClmtPrsAlgdETFDRC,LU2109787635,"0,34 %","1,51 %","5,66 %","4,87 %","8,54 %","11,44 %","11,29 %","15,68 %","11,47 %",—
Amundi MSCI EMU Value Factor ETF Dis,LU1598690169,"0,21 %","1,03 %","2,04 %","3,58 %","13,23 %","27,79 %","24,38 %","22,01 %","16,55 %","7,15 %"
Amundi MSCI Europe Action UCITS ETF Dist,LU2608817958,"0,23 %","1,14 %","5,03 %","5,03 %","10,65 %","13,38 %","9,62 %",—,—,—
Amundi MSCI Europe ESG Sel ETF Acc,LU1940199711,"0,09 %","1,18 %","4,54 %","5,64 %","11,46 %","11,35 %","8,21 %","13,91 %","10,90 %",—
Amundi MSCI Europe ESGBrdTrnstnETFDREURC,LU1681042609,"0,16 %","1,42 %","4,24 %","4,97 %","12,46 %","14,93 %","12,89 %","15,78 %","12,33 %","6,87 %"
Amundi MSCI Europe ETF Acc,FR0010261198,"0,15 %","1,45 %","3,97 %","5,09 %","12,26 %","16,46 %","13,79 %","15,67 %","12,82 %","7,10 %"
Amundi MSCI Eurp ESG Sel ETF EUR H Acc,LU1940199984,"0,00 %","1,15 %","4,05 %","5,68 %","11,52 %","12,57 %","8,98 %","13,55 %",—,—
Amundi MSCI Eurp Ex EMU ESG Sel ETFAcc,FR0010821819,"0,21 %","2,03 %","4,25 %","2,33 %","7,83 %","7,90 %","3,76 %","10,86 %","11,09 %","5,84 %"
Amundi MSCI Eurp Ex Switz ESG Sel ETFDRC,LU1681044308,"0,13 %","1,22 %","3,54 %","5,50 %","11,81 %","12,78 %","8,89 %","14,33 %","11,97 %","6,25 %"
Amundi MSCI EurSmCapESG BrdTrnstnETFAcc,LU1681041544,"0,12 %","3,73 %","2,92 %","1,07 %","14,12 %","14,65 %","12,39 %",—,—,—
Amundi MSCI EurSmCapESG BrdTrnstnETFDis,LU2572257470,"0,24 %","2,76 %","3,11 %","0,97 %","13,83 %","14,71 %","12,92 %",—,—,—
