Nombre,ISIN,Último Precio,Rendimiento 12 Meses,Categoría Morningstar,Medalist Rating,Rating Morningstar para Fondos,Rating ESG Morningstar Para Fondos,Patrimonio (moneda base),Fecha Patrimonio Fondo,Costes PRIIPs KID,Fecha de creación
iShares Core S&P 500 ETF MXNH Acc,IE00BL3J3G74,"1581,90 MXN","0,00 %",Other Equity,—,—,,"2,49 BMXN",13 oct 2025,"0,12 %",11 dic 2019
iShares Core S&P 500 ETF USD Acc,IE00B5BMR087,"709,20 US$","0,00 %",US Large-Cap Blend Equity,,,,"134,98 mil MUS$",13 oct 2025,"0,07 %",19 may 2010
iShares Core S&P 500 ETF USD Dist,IE0031442068,"65,93 US$","0,95 %",US Large-Cap Blend Equity,,,,"20,18 mil MUS$",13 oct 2025,"0,07 %",15 mar 2002
iShares Core SPI® ETF (CH),CH0237935652,"149,70 CHF","2,61 %",Switzerland Equity,,,,"4553,03 MCHF",13 oct 2025,"0,10 %",28 abr 2014
iShares Core UK Gilts ETF EUR Dist,IE000BI0GCN3,"4,61 €","4,21 %",Other Bond,—,—,,"4336,60 M€",13 oct 2025,"0,09 %",7 oct 2022
iShares Core UK Gilts ETF GBP Dist,IE00B1FZSB30,"9,96 GBP","4,14 %",GBP Government Bond,,,,"3761,80 MGBP",13 oct 2025,"0,07 %",1 dic 2006
iShares Core UK Gilts ETF USDH Dist,IE0004J6PFL7,"4,92 US$","4,24 %",Other Bond,—,—,,"5013,53 MUS$",13 oct 2025,"0,09 %",7 oct 2022
iShares Core £ Corp Bond ETF EUR H Acc,IE000H22E3N8,"5,41 €","0,00 %",Other Bond,—,—,,"1980,99 M€",13 oct 2025,"0,25 %",24 mar 2023
iShares Core £ Corp Bond ETF GBP Dist,IE00B00FV011,"122,17 GBP","4,84 %",GBP Corporate Bond,,,,"1718,41 MGBP",13 oct 2025,"0,20 %",29 mar 2004
iShares Core £ Corp Bond ETF USD H Acc,IE000UCFZI88,"5,69 US$","0,00 %",Other Bond,—,—,,"2290,21 MUS$",13 oct 2025,"0,25 %",24 mar 2023
iShares Core € Corp Bond ETF CHF H Acc,IE00BK6NC407,"4,67 CHF","0,00 %",Other Bond,—,—,,"12,90 mil MCHF",13 oct 2025,"0,11 %",26 jul 2019
iShares Core € Corp Bond ETF EUR Dist,IE00B3F81R35,"121,36 €","3,32 %",EUR Corporate Bond,,,,"13,86 mil M€",13 oct 2025,"0,09 %",6 mar 2009
iShares Core € Corp Bond ETF GBP H Dist,IE00BDFJYN35,"5,12 GBP","3,28 %",Other Bond,—,—,,"12,02 mil MGBP",13 oct 2025,"0,11 %",20 mar 2018
iShares Core € Corp Bond ETF SEK H Acc,IE00BJBLQC81,"50,34 SEK","0,00 %",SEK Corporate Bond,,,,"152,48 mil MSEK",13 oct 2025,"0,11 %",30 ago 2019
iShares Core € Corp Bond ETF USD H Acc,IE00093GOJ04,"6,03 US$","0,00 %",Other Bond,—,—,,"16,02 mil MUS$",13 oct 2025,"0,11 %",24 mar 2023
iShares Core € Govt Bond ETF CHF Hdg Acc,IE00BMFJGP26,"4,19 CHF","0,00 %",Other Bond,—,—,,"5514,43 MCHF",13 oct 2025,"0,09 %",14 may 2020
iShares Core € Govt Bond ETF EUR Dist,IE00B4WXJJ64,"111,28 €","2,31 %",EUR Government Bond,,,,"5923,10 M€",13 oct 2025,"0,07 %",17 abr 2009
iShares DAX® ESG ETF (DE),DE000A0Q4R69,"7,42 €",—,Germany Equity,,,,"125,32 M€",13 oct 2025,"0,12 %",18 may 2021
iShares Dev Mkts Prpty Yld ETF EURH Acc,IE00BDZVHD04,"5,91 €","0,00 %",Property - Indirect Other,—,—,,"1344,02 M€",13 oct 2025,"0,64 %",5 mar 2018
iShares Dev Mkts Prpty Yld ETF USD Dist,IE00B1FZS350,"24,10 US$","2,97 %",Property - Indirect Global,,,,"1553,82 MUS$",13 oct 2025,"0,59 %",20 oct 2006
iShares Dgtl Entrtnmnt & Edu ETF USD Acc,IE00023EZQ82,"12,14 US$","0,00 %",Sector Equity Technology,,,,"72,75 MUS$",13 oct 2025,"0,40 %",28 jun 2022
iShares Digital Security ETF USD Acc,IE00BG0J4C88,"10,26 US$","0,00 %",Sector Equity Technology,,,,"1912,41 MUS$",13 oct 2025,"0,40 %",7 sept 2018
iShares Digitalisation ETF USD Acc,IE00BYZK4883,"11,43 US$","0,00 %",Sector Equity Technology,,,,"958,17 MUS$",13 oct 2025,"0,40 %",8 sept 2016
iShares DivDAX® ETF (DE),DE0002635273,"21,03 €","3,38 %",Germany Equity,,,,"523,65 M€",13 oct 2025,"0,31 %",4 abr 2005
iShares Diversified Commodity Swap (DE),DE000A0H0728,—,—,Commodities - Broad Basket,—,—,—,"278,31 M€",13 oct 2025,"0,46 %",7 ago 2007
iShares Diversified Commodity Swap ETF,IE00BDFL4P12,"7,58 US$","0,00 %",Commodities - Broad Basket,—,—,—,"1534,56 MUS$",13 oct 2025,"0,19 %",18 jul 2017
iShares DJ Asia Pacific Sel Divi 50 (DE),DE000A0H0744,"26,96 €","5,05 %",Asia-Pacific Equity,,,,"301,01 M€",13 oct 2025,"0,31 %",27 mar 2006
iShares DJ Eurzne SustainbltyScrned (DE),DE000A0F5UG3,"20,77 €","2,46 %",Eurozone Large-Cap Equity,,,,"186,92 M€",13 oct 2025,"0,41 %",27 mar 2006
iShares DJ Glb Ttn 50 ETF (DE) EUR (Acc),DE000A2QP4C4,"6,13 €",—,Global Large-Cap Blend Equity,—,—,—,"2522,12 M€",13 oct 2025,"0,51 %",8 may 2025
iShares DJ Global Titans 50 ETF (DE),DE0006289382,—,"0,48 %",Global Large-Cap Blend Equity,,,,"2522,12 M€",13 oct 2025,"0,51 %",14 ago 2001
iShares Dow Jones Glb Ldrs Scrn ETF $Acc,IE00B57X3V84,"86,27 US$","0,00 %",Global Large-Cap Blend Equity,,,,"1788,37 MUS$",13 oct 2025,"0,60 %",25 feb 2011
iShares Dow Jones Indust Avg ETF USD Acc,IE00B53L4350,"551,70 US$","0,00 %",US Large-Cap Value Equity,,,,"1585,04 MUS$",13 oct 2025,"0,33 %",26 ene 2010
iShares eb.rexx® Gov Grmny 0-1y EUR Dist,DE000A0Q4RZ9,"76,29 €","1,10 %",EUR Money Market,—,—,,"1687,36 M€",13 oct 2025,"0,13 %",29 jul 2008
iShares eb.rexx® GovtGer 1.5-2.5yr (DE),DE0006289473,"80,77 €","0,80 %",EUR Government Bond - Short Term,,,,"492,43 M€",13 oct 2025,"0,16 %",11 jun 2003
iShares eb.rexx® GovtGer 10.5+yr (DE),DE000A0D8Q31,"119,75 €","2,09 %",EUR Bond - Long Term,,,,"69,15 M€",13 oct 2025,"0,16 %",28 sept 2005
iShares eb.rexx® GovtGer 2.5-5.5yr (DE),DE0006289481,"94,85 €","1,34 %",EUR Government Bond,,,,"180,61 M€",13 oct 2025,"0,16 %",11 jun 2003
iShares eb.rexx® GovtGer 5.5-10.5yr (DE),DE0006289499,"118,91 €","1,67 %",EUR Government Bond,,,,"356,04 M€",13 oct 2025,"0,16 %",11 jun 2003
iShares eb.rexx® GovtGer ETF (DE),DE0006289465,"125,44 €","1,05 %",EUR Government Bond,,,,"284,55 M€",13 oct 2025,"0,16 %",4 feb 2003
iShares Edge MSCI EM Mini Vol ETF $ Acc,IE00B8KGV557,"37,75 US$","0,00 %",Global Emerging Markets Equity,,,,"315,49 MUS$",13 oct 2025,"0,40 %",30 nov 2012
iShares Edge MSCI EM Val Fac ETF USD Acc,IE00BG0SKF03,"64,96 US$","0,00 %",Global Emerging Markets Equity,,,,"659,58 MUS$",13 oct 2025,"0,40 %",6 dic 2018
iShares Edge MSCI Eurp Mini Vol ETF €Acc,IE00B86MWN23,"67,19 €","0,00 %",Europe Large-Cap Blend Equity,,,,"853,00 M€",13 oct 2025,"0,25 %",30 nov 2012
iShares Edge MSCI Eurp Mom Fctr ETF €Acc,IE00BQN1K786,"13,90 €","0,00 %",Europe Large-Cap Blend Equity,,,,"815,27 M€",13 oct 2025,"0,25 %",16 ene 2015
iShares Edge MSCI Eurp QualFctr ETF €Acc,IE00BQN1K562,"10,85 €","0,00 %",Europe Large-Cap Blend Equity,,,,"521,50 M€",13 oct 2025,"0,25 %",16 ene 2015
iShares Edge MSCI Eurp Val Fctr ETF €Acc,IE00BQN1K901,"10,76 €","0,00 %",Europe Large-Cap Value Equity,,,,"2082,64 M€",13 oct 2025,"0,25 %",16 ene 2015
iShares Edge MSCI EurpMinVolAdvcdETF€Acc,IE00BKVL7D31,"7,94 €","0,00 %",Europe Large-Cap Blend Equity,,,,"25,42 M€",13 oct 2025,"0,25 %",17 abr 2020
iShares Edge MSCI USA MinVolAdvcdETF$Acc,IE00BKVL7331,"8,39 US$","0,00 %",US Large-Cap Blend Equity,,,,"180,19 MUS$",13 oct 2025,"0,20 %",20 abr 2020
iShares Edge MSCI USA Momt Fac ETF $ Acc,IE00BD1F4N50,"17,45 US$","0,00 %",US Large-Cap Growth Equity,,,,"692,55 MUS$",13 oct 2025,"0,20 %",13 oct 2016
iShares Edge MSCI USA Qual Fac ETF $ Acc,IE00BD1F4L37,"16,09 US$","0,00 %",US Large-Cap Blend Equity,,,,"1993,71 MUS$",13 oct 2025,"0,20 %",13 oct 2016
iShares Edge MSCI USA Val Fac ETF $ Acc,IE00BD1F4M44,"11,72 US$","0,00 %",US Large-Cap Value Equity,,,,"2338,10 MUS$",13 oct 2025,"0,20 %",13 oct 2016
iShares Edge MSCI Wld Min Vol ETF $ Acc,IE00B8FHGS14,"72,92 US$","0,00 %",Global Large-Cap Blend Equity,,,,"2952,83 MUS$",13 oct 2025,"0,30 %",30 nov 2012
iShares Edge MSCI Wld Min Vol ETF €H Acc,IE00BYXPXL17,"8,34 €","0,00 %",Other Equity,—,—,,"2554,14 M€",13 oct 2025,"0,35 %",21 abr 2017
iShares Edge MSCI Wld Min Vol ETFGBPHAcc,IE00BGPP8L80,"7,87 GBP","0,00 %",Other Equity,—,—,,"2215,60 MGBP",13 oct 2025,"0,35 %",26 feb 2019
iShares Edge MSCI Wld MinVolAdvcdETF$Acc,IE00BKVL7778,"7,91 US$","0,00 %",Global Large-Cap Blend Equity,,,,"803,48 MUS$",13 oct 2025,"0,30 %",20 abr 2020
iShares Edge MSCI Wld Mom Fctr ETF $ Acc,IE00BP3QZ825,"95,36 US$","0,00 %",Global Large-Cap Growth Equity,,,,"3262,87 MUS$",13 oct 2025,"0,25 %",3 oct 2014
iShares Edge MSCI Wld Qual Fctr ETF $Acc,IE00BP3QZ601,"76,56 US$","0,00 %",Global Large-Cap Blend Equity,,,,"4234,41 MUS$",13 oct 2025,"0,30 %",3 oct 2014
iShares Edge MSCI Wld Val Fctr ETF $Acc,IE00BP3QZB59,"54,22 US$","0,00 %",Global Large-Cap Value Equity,,,,"4186,56 MUS$",13 oct 2025,"0,30 %",3 oct 2014
iShares Edge S&P 500 Min Vol ETF USD Acc,IE00B6SPMN59,"105,93 US$","0,00 %",US Large-Cap Blend Equity,,,,"1599,84 MUS$",13 oct 2025,"0,20 %",30 nov 2012
iShares Edge S&P 500 MinVol ETF EURH Acc,IE00BYX8XD24,"10,15 €","0,00 %",Other Equity,—,—,,"1383,83 M€",13 oct 2025,"0,25 %",18 nov 2016
iShares Edge S&P 500 MinVol ETF USDDist,IE00BD93YH54,"9,47 US$","1,19 %",US Large-Cap Blend Equity,,,,"1599,84 MUS$",13 oct 2025,"0,20 %",21 feb 2018
iShares EdgeMSCIWldMinVolAdvcdETFCHFHAcc,IE00BMH5T269,"6,30 CHF","0,00 %",Other Equity,—,—,,"647,05 MCHF",13 oct 2025,"0,35 %",24 feb 2021
iShares EdgeMSCIWldMinVolAdvcdETFEURHAcc,IE00BMH5VP31,"6,75 €","0,00 %",Other Equity,—,—,,"695,00 M€",13 oct 2025,"0,35 %",24 feb 2021
iShares Elctrc Vhcl&Drvng Tech ETFUSDAcc,IE00BGL86Z12,"9,18 US$","0,00 %",Sector Equity Technology,,,,"458,21 MUS$",13 oct 2025,"0,40 %",20 feb 2019
iShares Em Asia Lcl Govt Bd ETF USD Dist,IE00B6QGFW01,"88,38 US$","3,24 %",Asia Bond - Local Currency,,,,"56,73 MUS$",13 oct 2025,"0,50 %",2 mar 2012
iShares EM Dividend ETF USD Dist,IE00B652H904,"16,35 US$","7,07 %",Global Emerging Markets Equity,,,,"877,47 MUS$",13 oct 2025,"0,65 %",25 nov 2011
iShares Em Mkts Eq Enh Actv ETF USD Acc,IE000OVF8Q66,"6,46 US$","0,00 %",Global Emerging Markets Equity,,—,,"522,22 MUS$",13 oct 2025,"0,30 %",31 jul 2024
iShares Energy Strg & Hydrgn ETF USD Acc,IE000DR59CI3,"6,95 US$",—,Other Equity,—,—,,"10,56 MUS$",13 oct 2025,"0,50 %",6 feb 2025
iShares Essential Mtls Producers ETF$Acc,IE000ROSD5J6,"6,70 €","0,00 %",Sector Equity Natural Resources,,—,,"311,24 MUS$",13 oct 2025,"0,55 %",18 oct 2023
iShares Euro Dividend ETF EUR Dist,IE00B0M62S72,"22,47 €","4,65 %",Eurozone Large-Cap Equity,,,,"1093,24 M€",13 oct 2025,"0,40 %",28 oct 2005
iShares Euro Govt Bd Cp 1.5-10.5yr (DE),DE000A0H0785,"111,62 €","1,50 %",EUR Government Bond,,,,"167,41 M€",13 oct 2025,"0,15 %",11 jul 2006
iShares EURO STOXX (DE),DE000A0D8Q07,"58,76 €","2,56 %",Eurozone Large-Cap Equity,,,,"2626,42 M€",13 oct 2025,"0,20 %",3 may 2005
iShares EURO STOXX 50 ESG ETF EUR Acc,IE000LXEN6X4,"7,23 €","0,00 %",Eurozone Large-Cap Equity,,—,,"67,56 M€",13 oct 2025,"0,10 %",26 jul 2023
iShares EURO STOXX Banks 30-15 ETF (DE),DE0006289309,"22,30 €","3,89 %",Sector Equity Financial Services,,,,"1659,39 M€",13 oct 2025,"0,51 %",25 abr 2001
iShares EURO STOXX Banks 30-15ETF DE acc,DE000A2QP372,"14,71 €",—,Sector Equity Financial Services,,,,"1659,39 M€",13 oct 2025,"0,51 %",3 dic 2021
iShares EURO STOXX Mid ETF EUR Dist,IE00B02KXL92,"76,92 €","3,54 %",Eurozone Mid-Cap Equity,,,,"490,26 M€",13 oct 2025,"0,40 %",29 oct 2004
iShares EURO STOXX Select Div 30 (DE),DE0002635281,"20,40 €","4,53 %",Eurozone Large-Cap Equity,,,,"486,27 M€",13 oct 2025,"0,31 %",3 may 2005
iShares EURO STOXX Select Div 30 DE acc,DE000A2QP380,"6,81 €",—,Eurozone Large-Cap Equity,,,,"486,27 M€",13 oct 2025,"0,31 %",3 dic 2021
iShares EURO STOXX Small ETF EUR Dist,IE00B02KXM00,"46,95 €","3,07 %",Eurozone Mid-Cap Equity,,,,"430,71 M€",13 oct 2025,"0,40 %",29 oct 2004
iShares Euro Total Mkt Gr Lg ETF € Dist,IE00B0M62V02,"64,29 €","1,08 %",Eurozone Large-Cap Equity,,,,"324,68 M€",13 oct 2025,"0,40 %",4 nov 2005
iShares Europe Defence ETF EUR Acc,IE000IAXNM41,"5,43 €",—,Sector Equity Industrial Materials,—,—,,"109,46 M€",13 oct 2025,"0,35 %",23 may 2025
iShares Europe Eq Enh Actv ETF EUR Acc,IE00000EF730,"5,71 €","0,00 %",Europe Large-Cap Blend Equity,,—,,"319,63 M€",13 oct 2025,"0,25 %",31 jul 2024
iShares European Prpty Yld ETF EUR Dist,IE00B0M63284,"30,82 €","2,85 %",Property - Indirect Europe,,,,"1169,68 M€",13 oct 2025,"0,40 %",4 nov 2005
iShares Fallen Angels HY CorpBd ETF$Dist,IE00BYM31M36,"5,50 US$","5,60 %",Global High Yield Bond,,,,"960,21 MUS$",10 oct 2025,"0,50 %",21 jun 2016
iShares Fallen Angels HY CorpBdETF£HDist,IE00BDFK1680,"5,03 GBP","5,57 %",Global High Yield Bond - GBP Hedged,,,,"721,72 MGBP",10 oct 2025,"0,55 %",10 abr 2018
iShares Fallen Angels HY CorpBdETF€HDist,IE00BF3N7219,"4,68 €","5,72 %",Global High Yield Bond - EUR Hedged,,,,"829,20 M€",10 oct 2025,"0,55 %",10 abr 2018
iShares France Govt Bond ETF EUR Dist,IE00B7LGZ558,"127,15 €","2,76 %",EUR Government Bond,,,,"60,32 M€",13 oct 2025,"0,20 %",8 may 2012
iShares France Govt Bond ETF GBPH Dist,IE00014E9P24,"5,00 GBP","2,67 %",Other Bond,—,—,,"52,32 MGBP",13 oct 2025,"0,22 %",7 oct 2022
iShares France Govt Bond ETF USDH Dist,IE000A9QV382,"5,07 US$","2,71 %",Other Bond,—,—,,"69,73 MUS$",13 oct 2025,"0,22 %",7 oct 2022
iShares FTSE 250 ETF GBP Dist,IE00B00FV128,"GBX2039,00","3,50 %",UK Mid-Cap Equity,,,,"715,08 MGBP",13 oct 2025,"0,40 %",26 mar 2004
iShares FTSE MIB ETF EUR Acc,IE00B53L4X51,"201,75 €","0,00 %",Italy Equity,,,,"297,71 M€",13 oct 2025,"0,33 %",26 ene 2010
iShares Germany Govt Bond ETF EUR Dist,IE00B5V94313,"121,28 €","2,17 %",EUR Government Bond,,,,"182,39 M€",13 oct 2025,"0,20 %",8 may 2012
iShares Glb RE Envirtl Tilt ETF USD Dist,IE000PL3UFC3,"5,48 US$","3,18 %",Property - Indirect Global,,—,,"13,69 MUS$",13 oct 2025,"0,19 %",28 jun 2024
iShares Global AAA-AA Govt Bd ETF $ Acc,IE00BZ171348,"4,79 US$","0,00 %",Global Government Bond,,,,"245,73 MUS$",13 oct 2025,"0,20 %",29 jun 2018
iShares Global AAA-AA Govt Bd ETF $ Dist,IE00B87G8S03,"81,14 US$","2,27 %",Global Government Bond,,,,"245,73 MUS$",13 oct 2025,"0,20 %",3 oct 2012
iShares Global Aggt Bd ESG SRI ETFUSDDis,IE000U6US1Q0,"4,12 US$","3,22 %",Global Diversified Bond,,,,"3865,09 MUS$",10 oct 2025,"0,10 %",27 ago 2021
iShares Global Aggt Bd ESG SRIETFCHFHAcc,IE000Z8F16G5,"4,34 CHF","0,00 %",Global Diversified Bond - CHF Hedged,,,,"3109,66 MCHF",10 oct 2025,"0,10 %",3 dic 2021
iShares Global Aggt Bd ESG SRIETFEURHAcc,IE000APK27S2,"4,63 €","0,00 %",Global Diversified Bond - EUR Hedged,,,,"3337,74 M€",10 oct 2025,"0,10 %",27 ago 2021
iShares Global Aggt Bd ESG SRIETFGBPHAcc,IE000ZXYID24,"4,92 GBP","0,00 %",Global Diversified Bond - GBP Hedged,,,,"2905,12 MGBP",10 oct 2025,"0,10 %",3 dic 2021
iShares Global Aggt Bd ESG SRIETFUSDHAcc,IE000HQY8R78,"5,50 US$","0,00 %",Global Diversified Bond - USD Hedged,,,,"3865,09 MUS$",10 oct 2025,"0,10 %",25 may 2022
iShares Global Arspc & Dfnc ETF USD Acc,IE000U9ODG19,"5,96 US$","0,00 %",Sector Equity Industrial Materials,,—,,"1039,70 MUS$",13 oct 2025,"0,35 %",1 feb 2024
iShares Global Clean Engy Trns ETF $Dist,IE00B1XNHC34,"9,38 US$","1,08 %",Sector Equity Alternative Energy,,,,"2780,31 MUS$",13 oct 2025,"0,65 %",9 jul 2007
iShares Global Corp Bond ETF CHF H Acc,IE00BK0TB144,"4,74 CHF","0,00 %",Global Corporate Bond - CHF Hedged,,,,"3562,74 MCHF",10 oct 2025,"0,25 %",5 jun 2019
iShares Global Corp Bond ETF EUR H Dist,IE00BJSFQW37,"4,29 €","4,04 %",Global Corporate Bond - EUR Hedged,,,,"3824,05 M€",10 oct 2025,"0,25 %",26 abr 2019
iShares Global Corp Bond ETF GBP H Dist,IE00BDFK3G24,"4,62 GBP","3,90 %",Global Corporate Bond - GBP Hedged,,,,"3328,40 MGBP",10 oct 2025,"0,25 %",20 mar 2018
iShares Global Corp Bond ETF USD Dist,IE00B7J7TB45,"90,89 US$","4,09 %",Global Corporate Bond,,,,"4428,24 MUS$",10 oct 2025,"0,20 %",24 sept 2012
iShares Global Corp Bond ETF USD H Acc,IE00BF3N6Z78,"6,19 US$","0,00 %",Global Corporate Bond - USD Hedged,,,,"4428,24 MUS$",10 oct 2025,"0,25 %",9 ago 2017
iShares Global Corp Bond EURH ETF Dist,IE00B9M6SJ31,"88,10 €","3,81 %",Global Corporate Bond - EUR Hedged,,,,"1150,16 M€",10 oct 2025,"0,25 %",25 jun 2013
iShares Global Govt Bond ETF CHF H Acc,IE00BMDBMM96,"4,05 CHF","0,00 %",Global Government Bond - CHF Hedged,,,,"2235,94 MCHF",10 oct 2025,"0,25 %",10 nov 2020
iShares Global Govt Bond ETF EUR H Dist,IE00BKT6FT27,"4,06 €","2,86 %",Global Government Bond - EUR Hedged,,,,"2399,93 M€",10 oct 2025,"0,25 %",26 sept 2019
iShares Global Govt Bond ETF GBP H Dist,IE00BDFK3H31,"4,65 GBP","2,87 %",Global Government Bond - GBP Hedged,,,,"2088,87 MGBP",10 oct 2025,"0,25 %",20 mar 2018
iShares Global Govt Bond ETF USD Dist,IE00B3F81K65,"91,44 US$","2,88 %",Global Government Bond,,,,"2779,11 MUS$",10 oct 2025,"0,20 %",6 mar 2009
iShares Global Govt Bond ETF USD H Acc,IE00BK7Y2P34,"5,06 US$","0,00 %",Global Government Bond - USD Hedged,,,,"2779,11 MUS$",10 oct 2025,"0,25 %",21 jun 2019
iShares Global HY Corp Bd CHFH ETF Dist,IE00B988C465,"72,25 CHF","5,47 %",Global High Yield Bond - CHF Hedged,,,,"156,69 MCHF",10 oct 2025,"0,55 %",11 abr 2014
iShares Global HY Corp Bd ETF CHF H Acc,IE00BKBF4J08,"5,52 CHF","0,00 %",Global High Yield Bond - CHF Hedged,,,,"2187,57 MCHF",10 oct 2025,"0,55 %",5 jun 2019
iShares Global HY Corp Bd ETF EUR H Dist,IE00BJSFR200,"4,36 €","5,41 %",Global High Yield Bond - EUR Hedged,,,,"2348,01 M€",10 oct 2025,"0,55 %",26 abr 2019
iShares Global HY Corp Bd ETF GBP H Dist,IE00BJSFQX44,"4,65 GBP","5,43 %",Global High Yield Bond - GBP Hedged,,,,"2043,68 MGBP",10 oct 2025,"0,55 %",26 abr 2019
iShares Global HY Corp Bd ETF USD Dist,IE00B74DQ490,"89,84 US$","5,39 %",Global High Yield Bond,,,,"2718,99 MUS$",10 oct 2025,"0,50 %",13 nov 2012
iShares Global HY Corp Bd GBPH ETF Dist,IE00B8KQFS66,"91,58 GBP","5,63 %",Global High Yield Bond - GBP Hedged,,,,"157,79 MGBP",10 oct 2025,"0,55 %",25 jun 2013
iShares Global Infl Lnkd GovBd ETF $ Acc,IE00B3B8PX14,"164,06 US$","0,00 %",Global Inflation-Linked Bond,,,,"1201,97 MUS$",10 oct 2025,"0,20 %",1 ago 2008
iShares Global Infl Lnkd GovBd ETF£HDist,IE00BMDBML89,"4,52 GBP","1,08 %",Global Inflation-Linked Bond - GBP Hedged,,,,"903,44 MGBP",10 oct 2025,"0,20 %",10 nov 2020
iShares Global Infl Lnkd GovBd ETF€HAcc,IE00BKPT2S34,"4,56 €","0,00 %",Global Inflation-Linked Bond - EUR Hedged,,,,"1037,98 M€",10 oct 2025,"0,20 %",27 abr 2020
iShares Global Infl Lnkd GovBd ETF€HDist,IE00BD8PH174,"4,50 €","1,09 %",Global Inflation-Linked Bond - EUR Hedged,,,,"1037,98 M€",10 oct 2025,"0,20 %",22 sept 2017
iShares Global Infras ETF USD Dist,IE00B1FZS467,"35,87 US$","2,19 %",Sector Equity Infrastructure,,,,"1866,67 MUS$",13 oct 2025,"0,65 %",20 oct 2006
iShares Global Timber&Forestry ETF $ Dis,IE00B27YCF74,"23,82 US$","2,64 %",Sector Equity Natural Resources,,,,"99,39 MUS$",13 oct 2025,"0,65 %",12 oct 2007
iShares Global Water ETF USD Dist,IE00B1TXK627,"74,97 US$","1,07 %",Sector Equity Water,,,,"2347,77 MUS$",13 oct 2025,"0,65 %",16 mar 2007
iShares Gold (CH) A,CH0104136236,"396,30 US$",—,Commodities - Precious Metals,—,—,—,"1402,86 MUS$",13 oct 2025,"0,19 %",5 oct 2009
iShares Gold CHF Hedged (CH) A,CH0104136285,"268,10 CHF",—,Commodities - Precious Metals,—,—,—,"605,46 MCHF",13 oct 2025,"0,22 %",5 oct 2009
iShares Gold EUR Hedged (CH) A,CH0104136319,"206,60 €",—,Commodities - Precious Metals,—,—,—,"327,70 M€",13 oct 2025,"0,22 %",5 oct 2009
iShares Gold Producers ETF USD Acc,IE00B6R52036,"35,81 US$","0,00 %",Sector Equity Precious Metals,,,,"4237,90 MUS$",10 oct 2025,"0,55 %",16 sept 2011
iShares Growth Portfolio ETF EUR Acc,IE00BLLZQ805,"7,29 €","0,00 %",EUR Aggressive Allocation - Global,,,,"88,29 M€",13 oct 2025,"0,29 %",8 sept 2020
iShares Growth Portfolio ETF GBP H Acc,IE00BLLZQ912,"7,64 GBP","0,00 %",GBP Allocation 60-80% Equity,,,,"76,59 MGBP",13 oct 2025,"0,29 %",14 sept 2020
iShares Growth Portfolio ETF USD H Acc,IE00BLB2GS19,"6,53 US$","0,00 %",USD Aggressive Allocation,,,,"102,07 MUS$",13 oct 2025,"0,30 %",29 mar 2022
iShares Healthcare Innov ETF USD Acc,IE00BYZK4776,"8,25 US$","0,00 %",Sector Equity Healthcare,,,,"988,44 MUS$",13 oct 2025,"0,40 %",8 sept 2016
iShares iBonds Dec 2025 Trm$TrsETFUSDAcc,IE000U99N3V1,"110,60 US$","0,00 %",Fixed Term Bond,—,—,,"67,75 MUS$",10 oct 2025,"0,10 %",31 ago 2023
iShares iBonds Dec 2025Trm$CorpETFUSDAcc,IE0000X2DXK3,"111,75 US$","0,00 %",Fixed Term Bond,—,—,,"266,26 MUS$",10 oct 2025,"0,12 %",6 sept 2023
iShares iBonds Dec 2025Trm€CorpETFEURAcc,IE000GUOATN7,"5,40 €","0,00 %",Fixed Term Bond,—,—,,"657,44 M€",13 oct 2025,"0,12 %",6 sept 2023
iShares iBonds Dec 2026Trm$CorpETFUSDAcc,IE000BWITBP9,"112,72 US$","0,00 %",Fixed Term Bond,—,—,,"556,47 MUS$",10 oct 2025,"0,12 %",10 ago 2023
iShares iBonds Dec 2026Trm$CorpETFUSDInc,IE0007UPSEA3,"5,08 US$","4,92 %",Fixed Term Bond,—,—,,"556,47 MUS$",10 oct 2025,"0,12 %",10 ago 2023
iShares iBonds Dec 2026Trm€CorpETFEURAcc,IE000WA6L436,"5,49 €","0,00 %",Fixed Term Bond,—,—,,"1295,03 M€",13 oct 2025,"0,12 %",7 sept 2023
iShares iBonds Dec 2026Trm€CorpETFEURInc,IE000SIZJ2B2,"5,10 €","3,31 %",Fixed Term Bond,—,—,,"1295,03 M€",13 oct 2025,"0,12 %",10 ago 2023
iShares iBonds Dec 2027Trm$CorpETFUSDAcc,IE000I1D7D10,"114,14 US$","0,00 %",Fixed Term Bond,—,—,,"411,45 MUS$",10 oct 2025,"0,12 %",6 sept 2023
iShares iBonds Dec 2027Trm€CorpETFEURAcc,IE000ZOI8OK5,"5,56 €","0,00 %",Fixed Term Bond,—,—,,"1008,60 M€",13 oct 2025,"0,12 %",6 sept 2023
iShares iBonds Dec 2027Trm€CorpETFEURInc,IE000H5X52W8,"5,18 €","3,16 %",Fixed Term Bond,—,—,,"1008,60 M€",13 oct 2025,"0,12 %",22 nov 2023
iShares iBonds Dec 2028Trm$CorpETFUSDAcc,IE0000UJ3480,"114,72 US$","0,00 %",Fixed Term Bond,—,—,,"1194,47 MUS$",10 oct 2025,"0,12 %",10 ago 2023
iShares iBonds Dec 2028Trm$CorpETFUSDInc,IE0000VITHT2,"5,20 US$","4,70 %",Fixed Term Bond,—,—,,"1194,47 MUS$",10 oct 2025,"0,12 %",10 ago 2023
